"PI" "PII"
"1" 22.76 21.6
"2" 19.13 21.95
"3" 19.03 22.27
"4" 19.41 18.51
"5" 20.6 19.55
"6" 16.74 22.71
"7" 26.57 24.2
"8" 23.52 31.86
"9" 27.29 28.85
"10" 18.12 28.3
"11" 19.89 27.37
"12" 18.05 25.32
"13" 22.17 28.87
"14" 19.84 27.43
"15" 17.66 25.87
"16" 15.35 22.29
"17" 15.05 19.45
"18" 16.21 27.2
"19" 25.74 28.66
"20" 15.4 20.6
"21" 19.56 22.91
"22" 18.23 25.39
"23" 18.38 28.67
"24" 25.22 25.97
"25" 16.83 18.6
"26" 22.26 25.86
"27" 25.76 30.21
"28" 21.42 25.65
"29" 15.09 17.16
"30" 22.34 24.59
"31" 17.77 21.83
"32" 17.56 27.8
"33" 17.55 26.9
"34" 28.11 25.91
"35" 16.17 26.59
"36" 18.43 23.27
"37" 19.92 22.29
"38" 22.72 21.53
"39" 17.89 28.76
"40" 23.85 29.17
"41" 22.77 20.07
"42" 30.15 28.67
"43" 15.21 27.05
"44" 14.57 24.82
"45" 16.43 23.17
"46" 22.57 24.95
"47" 22.42 24.42
"48" 14.82 24.38
"49" 25.76 30.41
"50" 22.61 27.5
"51" 16.1 29.43
"52" 22.12 27.78
"53" 15 26
"54" 15.25 21.55
"55" 22.95 27.24
"56" 18.34 21.32
"57" 20.98 27.25
"58" 15.46 20.12
"59" 14.83 24.25
